,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ID=FBgn0265191,687.5806747106934,0.2980652069788599,0.13766060484527087,2.1652179090298356,0.03037100147613091,0.21344536232945635
ID=FBgn0265192,472.87924200956456,0.03366813445482,0.16113778146333563,0.20894003969193692,0.834495046761564,0.9718070838069868
ID=FBgn0265193,243.8470822681283,-0.11330242394506529,0.14386426791956833,-0.7875647343398046,0.4309513494209103,0.839004587420436
ID=FBgn0265194,1935.350654687996,-0.5193605353758907,0.10354346586667192,-5.015869722234786,5.279409457164482e-07,2.357927963472042e-05
ID=FBgn0265205,164.20655841930184,-0.05239556003518336,0.17961355709799143,-0.29171272414920224,0.7705062797060028,0.956551427416241
ID=FBgn0265252,870.0471487759033,-0.047324159607728615,0.16818146138690826,-0.2813874919237232,0.7784132107167445,0.9589291411691186
ID=FBgn0265253,92.03720413444762,-0.08432620788521049,0.26136354023502445,-0.32263952274820856,0.7469682582809145,0.9506561541960428
ID=FBgn0265262,256.29939908822877,0.16061859988150587,0.21499058521808892,0.7470959703587602,0.4550056324397075,0.8525619429538704
ID=FBgn0265276,187.28463461876595,1.8421090932656687,0.24118916723946102,7.637611234159445,2.2128883850298716e-14,3.408751332694994e-12
ID=FBgn0265295,101.81419690145829,0.3458088998443664,0.29584873210067086,1.168870650176372,0.24245575009739684,0.6872159225441801
ID=FBgn0265297,50598.89162889858,-0.06372980162099817,0.21266162210486758,-0.2996770220701682,0.7644235272477093,0.9562045581922125
ID=FBgn0265298,1655.8067124013248,0.0508323875659328,0.1453894533132642,0.3496291265117183,0.7266170491006059,0.9462855731039855
ID=FBgn0265318,293.87955555074393,0.5075624470560454,0.2035612803657112,2.493413512354492,0.012652140331869554,0.11533617780791232
ID=FBgn0265351,213.48965867522142,0.2191589883985488,0.19124482721021335,1.1459603461988157,0.2518115599147135,0.6971879991393757
ID=FBgn0265362,100.51275451356074,0.4033002298469547,0.37270920456964124,1.0820774612009816,0.2792181098693247,0.7259270259844001
ID=FBgn0265379,2875.1577954148174,-0.22802374737358672,0.6326011931315859,-0.36045418479973695,0.7185075123147548,0.9444999513439502
ID=FBgn0265380,191.5802781634072,-0.3077327086263977,0.23668374073352594,-1.3001852500415874,0.19353748473860433,0.6173234094904843
ID=FBgn0265413,3145.535920571033,0.32438424255638093,0.21839438365161734,1.485314032039572,0.13746065649508785,0.5266859213338103
ID=FBgn0265416,2056.2341489129317,0.4062799937930158,0.3557304670445436,1.1421006391958621,0.2534121897991568,0.6997679708600268
ID=FBgn0265419,463.66907952861635,-0.7624623645069412,0.2004045298577432,-3.804616417843318,0.00014202410439392786,0.0032289094577270107
ID=FBgn0265451,363.75765856318606,-0.13471278361429015,0.12983555651992856,-1.0375646488919466,0.2994727831356435,0.7416142581969228
ID=FBgn0265457,7127.617758207416,-0.01413491160447962,0.16318608227319573,-0.08661836479912455,0.9309748677663044,0.988715925330922
ID=FBgn0265464,207.34398099810716,0.16315088807970832,0.1972616285386667,0.8270786837173856,0.4081924653169019,0.8265445496705788
ID=FBgn0265487,15719.28143631446,0.6120605534453131,0.3603092921493999,1.6987087671098036,0.08937407073947137,0.41108804749636196
ID=FBgn0265499,537.7397766451624,0.1561551185824533,0.19560595641877435,0.7983147417461028,0.4246878653621039,0.8351540191336304
ID=FBgn0265523,31185.703958392194,-0.25603256479720904,0.19335898494020173,-1.324130683021478,0.18545964690948347,0.6090301028546063
ID=FBgn0265524,239.67473269367474,0.1941765749369938,0.14637966439472883,1.3265269854245285,0.1846652027244352,0.6090301028546063
ID=FBgn0265532,310.06491817565353,-0.7016558662305249,0.22231055496923335,-3.1561968181296223,0.0015984096315022457,0.02370293889701169
ID=FBgn0265540,1047.9557870126475,-0.003028558554459761,0.13570426784721112,-0.022317341985659597,0.9821948154232619,0.997566148455351
